dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNet,12,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.2984623908996582,0.0377,0.04993873415340408,0.03762,0.3805,0.6194999999999999,0.0,
ImageNet,12,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2816925644874573,0.0363,0.04988101515740619,0.03554,0.37526,0.6247400000000001,0.0,B
ImageNet,13,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.125,0.0374,0.049638734153404085,0.03704,0.6294,0.37060000000000004,0.0,
ImageNet,13,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.3055955171585083,0.0377,0.04993873415340408,0.03954,0.37898,0.62102,0.0,
ImageNet,13,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.30026382207870483,0.0377,0.04993873415340408,0.03782,0.381,0.619,0.0,
ImageNet,13,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.28511732816696167,0.0364,0.049981015157406196,0.03604,0.3767,0.6233,0.0,B
ImageNet,14,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0374,0.049638734153404085,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,14,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.2941923141479492,0.0377,0.04993873415340408,0.0383,0.37556,0.62444,0.0,
ImageNet,14,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.3063693046569824,0.0377,0.04993873415340408,0.03862,0.38302,0.61698,0.0,
ImageNet,14,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.2934558391571045,0.0364,0.049981015157406196,0.03716,0.3791,0.6209,0.0,B
ImageNet,15,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.13,0.0372,0.04943873415340408,0.0382,0.6345,0.36550000000000005,0.0,
ImageNet,15,0.05,0.05,50000,202,0.67742,0.04926,single_A_monotone_pac,10000,0.012238734153404082,0.05,0.27880173921585083,0.0377,0.04993873415340408,0.03632,0.37086,0.62914,0.0,
ImageNet,15,0.05,0.05,50000,202,0.67742,0.04926,single_B_monotone_pac,10000,0.012238734153404082,0.05,0.32403481006622314,0.0377,0.04993873415340408,0.04078,0.38826,0.61174,0.0,
ImageNet,15,0.05,0.05,50000,202,0.67742,0.04926,best_of_singles_bonferroni,10000,0.013581015157406196,0.025,0.3089507222175598,0.0364,0.049981015157406196,0.03892,0.38382,0.61618,0.0,B
ImageNet,16,0.05,0.05,50000,202,0.67742,0.04926,lp_two_source_monotone_ucb,10000,0.012238734153404082,0.05,0.115,0.0376,0.049838734153404084,0.03478,0.61902,0.38098,0.0,
