dataset,trial,epsilon,alpha,n,num_policies,oracle_lp_saved,oracle_lp_error,method,m,radius,alpha_used,selected_threshold,empirical_loss,ucb,realized_error,budget_saved,avg_cost,violated,chosen_source
ImageNetV2,93,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.39590000000000003,0.0725,0.09986664152555987,0.0764,0.3535,0.6465000000000001,0.0,
ImageNetV2,93,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4655,0.0725,0.09986664152555987,0.0851,0.3841,0.6159,0.0,
ImageNetV2,93,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.45509999999999995,0.0695,0.09986807309541526,0.0826,0.3801,0.6199,0.0,B
ImageNetV2,94,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.13,0.052,0.09756314291989523,0.0535,0.4936,0.5064,0.0,
ImageNetV2,94,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.33499999999999996,0.0725,0.09986664152555987,0.0637,0.3297,0.6703,0.0,
ImageNetV2,94,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.4394,0.0725,0.09986664152555987,0.0796,0.3745,0.6255,0.0,
ImageNetV2,94,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.4324,0.0695,0.09986807309541526,0.0778,0.3718,0.6282,0.0,B
ImageNetV2,95,0.1,0.05,10000,202,0.616,0.0998,lp_two_source_uniform_ucb,2000,0.04556314291989523,0.05,0.135,0.054,0.09956314291989524,0.0557,0.4991,0.5009,0.0,
ImageNetV2,95,0.1,0.05,10000,202,0.616,0.0998,single_A_monotone_pac,2000,0.027366641525559867,0.05,0.38039999999999996,0.0725,0.09986664152555987,0.0725,0.3465,0.6535,0.0,
ImageNetV2,95,0.1,0.05,10000,202,0.616,0.0998,single_B_monotone_pac,2000,0.027366641525559867,0.05,0.42689999999999995,0.0725,0.09986664152555987,0.0767,0.3699,0.6301,0.0,
ImageNetV2,95,0.1,0.05,10000,202,0.616,0.0998,best_of_singles_bonferroni,2000,0.030368073095415258,0.025,0.395,0.0695,0.09986807309541526,0.0706,0.3585,0.6415,0.0,B
